user_id,signup_date,country,device,acquisition_channel
1,2024-02-21,,Mobile,ads
2,2024-01-21,India,Mobile,organic
3,2024-03-15,UK,MOBILE,organic
4,2024-01-03,India,desktop,ads
5,2024-01-30,India,MOBILE,referral
6,2024-02-02,US,desktop,organic
7,2024-03-29,India,Mobile,organic
8,2024-02-29,US,desktop,organic
9,2024-03-02,India,Mobile,referral
10,2024-01-03,UK,Mobile,organic
11,2024-02-08,India,mobile,referral
12,2024-01-09,India,desktop,ads
13,2024-02-29,India,mobile,referral
14,2024-02-04,UK,MOBILE,organic
15,2024-01-04,US,desktop,organic
16,2024-01-04,India,Mobile,referral
17,2024-02-13,UK,desktop,referral
18,2024-02-17,US,desktop,organic
19,2024-03-02,US,MOBILE,ads
20,2024-02-22,US,mobile,organic
21,2024-02-10,India,mobile,organic
22,2024-03-11,US,mobile,organic
23,2024-03-28,India,Mobile,ads
24,2024-02-04,UK,Mobile,organic
25,2024-02-10,UK,mobile,ads
26,2024-02-03,India,Mobile,organic
27,2024-03-28,UK,MOBILE,ads
28,2024-02-04,US,mobile,referral
29,2024-01-03,UK,desktop,organic
30,2024-01-14,US,mobile,ads
31,2024-03-30,India,mobile,organic
32,2024-02-21,US,MOBILE,referral
33,2024-01-23,UK,Mobile,ads
34,2024-02-05,UK,Mobile,organic
35,2024-03-26,UK,desktop,referral
36,2024-02-26,India,MOBILE,referral
37,2024-02-13,US,desktop,ads
38,2024-03-29,US,mobile,organic
39,2024-01-27,US,MOBILE,organic
40,2024-01-03,India,MOBILE,ads
41,2024-03-02,India,Mobile,organic
42,2024-01-24,UK,desktop,organic
43,2024-03-28,UK,mobile,organic
44,2024-02-27,,desktop,ads
45,2024-01-03,US,mobile,referral
46,2024-02-28,UK,desktop,organic
47,2024-03-27,India,mobile,ads
48,2024-01-02,US,desktop,referral
49,2024-02-01,US,Mobile,ads
50,2024-01-17,UK,MOBILE,organic
51,2024-03-10,US,Mobile,organic
52,2024-03-13,US,desktop,ads
53,2024-01-03,US,Mobile,organic
54,2024-03-30,US,Mobile,organic
55,2024-03-11,India,mobile,organic
56,2024-02-08,UK,mobile,ads
57,2024-02-26,India,Mobile,ads
58,2024-02-11,India,MOBILE,organic
59,2024-02-29,India,mobile,organic
60,2024-01-12,US,MOBILE,ads
61,2024-01-09,India,Mobile,ads
62,2024-01-03,UK,desktop,ads
63,2024-01-24,UK,mobile,organic
64,2024-02-07,UK,desktop,organic
65,2024-03-29,UK,mobile,organic
66,2024-03-22,US,Mobile,ads
67,2024-02-10,India,MOBILE,organic
68,2024-01-21,India,MOBILE,ads
69,2024-01-07,UK,MOBILE,ads
70,2024-03-16,US,desktop,organic
71,2024-01-30,,mobile,organic
72,2024-01-08,UK,desktop,organic
73,2024-01-28,UK,mobile,organic
74,2024-03-01,US,MOBILE,organic
75,2024-02-18,India,MOBILE,referral
76,2024-02-15,UK,Mobile,ads
77,2024-02-06,UK,mobile,ads
78,2024-02-29,UK,Mobile,organic
79,2024-02-01,UK,MOBILE,organic
80,2024-01-18,US,Mobile,referral
81,2024-03-07,US,MOBILE,organic
82,2024-02-16,,desktop,organic
83,2024-01-02,US,MOBILE,ads
84,2024-02-12,UK,Mobile,organic
85,2024-01-26,UK,mobile,ads
86,2024-02-29,US,mobile,ads
87,2024-01-20,UK,MOBILE,organic
88,2024-01-14,UK,Mobile,organic
89,2024-03-06,US,Mobile,organic
90,2024-01-25,India,desktop,organic
91,2024-02-27,UK,mobile,organic
92,2024-03-10,US,Mobile,organic
93,2024-01-08,UK,MOBILE,referral
94,2024-03-08,UK,MOBILE,ads
95,2024-02-16,UK,MOBILE,ads
